80665,6400900,單  87巷以下,odd;<LANE:87
80668,6400900,單  89號至 115號,odd;~NUMBER:89:115
80665,6400900,雙  90號以下,even;<NUMBER:90
80668,6400900,雙 102號至 116號,even;~NUMBER:102:116
