71089,6703100,單 147號以下,odd;<NUMBER:147
71065,6703100,單 321號以上,odd;>NUMBER:321
71089,6703100,雙  58號以下,even;<NUMBER:58
71065,6703100,雙  60號以上,even;>NUMBER:60
