32641,6800400,單  59號以下,odd;<NUMBER:59
32645,6800400,單  61號至 469號,odd;~NUMBER:61:469
32665,6800400,單 471巷以上,odd;>LANE:471
32641,6800400,雙  64號以下,even;<NUMBER:64
32668,6800400,雙  66巷至 146巷,even;~LANE:66:146
32645,6800400,雙 148號至 410號,even;~NUMBER:148:410
32665,6800400,雙 412號以上,even;>NUMBER:412
32659,6800400,全,=SECTION:2;all
