92941,1001322,單   9號以下,odd;<NUMBER:9
92942,1001322,單  51號以上,odd;>NUMBER:51
92941,1001322,雙  36號以下,even;<NUMBER:36
92942,1001322,雙  72號以上,even;>NUMBER:72
