40643,6600800,單 999號以下,1段;odd;<999號
40648,6600800,單1001號以上,1段;odd;>1001號
40643,6600800,雙1100號以下,1段;even;<1100號
40648,6600800,雙1102號以上,1段;even;>1102號
40675,6600800,單 145號以下,2段;odd;<145號
40669,6600800,單 147號至 485之   1號,2段;odd;147號~485之1號
40671,6600800,單 501號至 509號,2段;odd;501號~509號
40669,6600800,單 701號至 709號,2段;odd;701號~709號
40682,6600800,單1179之   1號至1533號,2段;odd;1179之1號~1533號
40675,6600800,雙 116號以下,2段;even;<116號
40669,6600800,雙 118號至 178號,2段;even;118號~178號
40673,6600800,雙 180號至 460號,2段;even;180號~460號
40682,6600800,雙1498號至1512號,2段;even;1498號~1512號
40670,6600800,單 161號以下,3段;odd;<161號
40671,6600800,單 163號至 207號,3段;odd;163號~207號
40679,6600800,單 361號至 499號,3段;odd;361號~499號
40682,6600800,單 501號至1505號,3段;odd;501號~1505號
40671,6600800,雙 278號以下,3段;even;<278號
40680,6600800,雙 280號至 450號,3段;even;280號~450號
40682,6600800,雙 580巷以上,3段;even;>580巷
