83068,6401200,單  23號以下,odd;<NUMBER:23
83066,6401200,單  25號以上,odd;>NUMBER:25
83068,6401200,雙  20號以下,even;<NUMBER:20
83066,6401200,雙  22號以上,even;>NUMBER:22
