42058,6600900,全,=SECTION:1;all
42082,6600900,連 266號以下,=SECTION:2;<NUMBER:266
42055,6600900,　 267巷全,=SECTION:2;=LANE:267
42082,6600900,連 268號以上,=SECTION:2;>NUMBER:268
