81143,6400400,單 669號至 999號,odd;~NUMBER:669:999
81149,6400400,單1001號以上,odd;>NUMBER:1001
81143,6400400,雙 658號至 926號,even;~NUMBER:658:926
81149,6400400,雙 928號以上,even;>NUMBER:928
81346,6400300,單  35號以下,odd;<NUMBER:35
81342,6400300,單  37號至 667號,odd;~NUMBER:37:667
81346,6400300,雙  96號以下,even;<NUMBER:96
81343,6400300,雙  98號至 238號,even;~NUMBER:98:238
81345,6400300,雙 240號至 656號,even;~NUMBER:240:656
