80670,6400900,單   3號以下,odd;<NUMBER:3
80652,6400900,單   5號至  51之  22號,odd;~NUMBER:5:51之22
80670,6400900,單 105號至 251號,odd;~NUMBER:105:251
80652,6400900,單 523巷以上,odd;>LANE:523
80662,6400900,雙 124號至 138號,even;~NUMBER:124:138
80670,6400900,雙 176號至 492號,even;~NUMBER:176:492
80652,6400900,雙 500號至 918號,even;~NUMBER:500:918
80642,6400900,雙 922號以上,even;>NUMBER:922
