40756,6600600,單 751號以上,odd;>NUMBER:751
40756,6600600,雙 778號以上,even;>NUMBER:778
40869,6600700,單 241號至 249巷,odd;~LANE:241:249
40867,6600700,單 259號至 547號,odd;~NUMBER:259:547
40862,6600700,單 581號至 665號,odd;~NUMBER:581:665
40848,6600700,單 667號至 723號,odd;~NUMBER:667:723
40867,6600700,雙 566號以下,even;<NUMBER:566
40862,6600700,雙 580號至 678號,even;~NUMBER:580:678
40848,6600700,雙 680號至 730號,even;~NUMBER:680:730
