42048,6600900,單 149號以下,odd;<NUMBER:149
42084,6600900,單 151號至 515號,odd;~NUMBER:151:515
42048,6600900,雙 150號以下,even;<NUMBER:150
42084,6600900,雙 152號至 520號,even;~NUMBER:152:520
