33372,6800700,單  95號以下,odd;<NUMBER:95
33356,6800700,單  97號以上,odd;>NUMBER:97
33372,6800700,雙  88號以下,even;<NUMBER:88
33356,6800700,雙  90巷以上,even;>LANE:90
