54253,1000803,單  61巷以下,odd;<LANE:61
54255,1000803,單  83號以上,odd;>NUMBER:83
54253,1000803,雙  88號以下,even;<NUMBER:88
54255,1000803,雙 120號以上,even;>NUMBER:120
