71083,6703100,單  73號以下,odd;<NUMBER:73
71048,6703100,單  75號以上,odd;>NUMBER:75
71083,6703100,雙  52號以下,even;<NUMBER:52
71048,6703100,雙  54號以上,even;>NUMBER:54
