54155,1000808,單 297號以下,odd;<297號
54154,1000808,單 299號至 479號,odd;299號~479號
54151,1000808,單 481號以上,odd;>481號
54155,1000808,雙 326號以下,even;<326號
54154,1000808,雙 328號以上,even;>328號
