80044,6400600,單  93號以上,odd;>NUMBER:93
80044,6400600,雙 162號以上,even;>NUMBER:162
80242,6400800,單  91號以下,odd;<NUMBER:91
80242,6400800,雙 160號以下,even;<NUMBER:160
