41277,6602800,單 121號以下,odd;<NUMBER:121
41273,6602800,單 123號以上,odd;>NUMBER:123
41277,6602800,雙 148號以下,even;<NUMBER:148
41273,6602800,雙 150號以上,even;>NUMBER:150
