10050,6300500,單   5號以下,odd;<NUMBER:5
10052,6300500,單   7號以上,odd;>NUMBER:7
10050,6300500,雙   4號以下,even;<NUMBER:4
10052,6300500,雙   6號以上,even;>NUMBER:6
