80146,6400700,單 201號以上,odd;>NUMBER:201
80146,6400700,雙 270號以上,even;>NUMBER:270
80245,6400800,單 199號以下,odd;<NUMBER:199
80245,6400800,雙 268號以下,even;<NUMBER:268
