71142,6702800,單  19號以下,odd;<NUMBER:19
71143,6702800,單  45號至 127號,odd;~NUMBER:45:127
71142,6702800,雙  46號以下,even;<NUMBER:46
71143,6702800,雙  50號至 122號,even;~NUMBER:50:122
