71843,6702900,單 495巷以下,=SECTION:1;odd;<LANE:495
71844,6702900,單 501號至1157號,=SECTION:1;odd;~NUMBER:501:1157
71842,6702900,單1159巷以上,=SECTION:1;odd;>LANE:1159
71843,6702900,雙 498巷以下,=SECTION:1;even;<LANE:498
71844,6702900,雙 502號至1168號,=SECTION:1;even;~NUMBER:502:1168
71842,6702900,雙1170號以上,=SECTION:1;even;>NUMBER:1170
71846,6702900,單 399號以下,=SECTION:2;odd;<NUMBER:399
71841,6702900,單 401號以上,=SECTION:2;odd;>NUMBER:401
71846,6702900,雙 400號以下,=SECTION:2;even;<NUMBER:400
71841,6702900,雙 402號以上,=SECTION:2;even;>NUMBER:402
