32066,6800200,單  53號至 155號,odd;~NUMBER:53:155
32065,6800200,單 429號至 595號,odd;~NUMBER:429:595
32066,6800200,雙   6號至 416號,even;~NUMBER:6:416
32065,6800200,雙 426號至 596號,even;~NUMBER:426:596
