42353,6601000,單 215號以下,odd;<NUMBER:215
42350,6601000,單 217號至 545號,odd;~NUMBER:217:545
42353,6601000,雙 340號以下,even;<NUMBER:340
42350,6601000,雙 342號至 670號,even;~NUMBER:342:670
