83249,6401300,單  67號以下,odd;<NUMBER:67
83250,6401300,單  75號以上,odd;>NUMBER:75
83249,6401300,雙  30號以下,even;<NUMBER:30
83250,6401300,雙  32號以上,even;>NUMBER:32
