22065,6500100,連  48號以下,<NUMBER:48
22050,6500100,連  49號以上,>NUMBER:49
23141,6500600,全,all
23453,6500400,全,all
24462,6501700,全,all
24744,6501400,單  59號以下,odd;<NUMBER:59
24745,6501400,單  61巷以上,odd;>LANE:61
24744,6501400,雙  96巷以下,even;<LANE:96
24745,6501400,雙  98號以上,even;>NUMBER:98
25173,6501000,單 175號以下,odd;<NUMBER:175
25159,6501000,單 177號至 213號,odd;~NUMBER:177:213
25159,6501000,　 215巷連  98號以下,=LANE:215;<NUMBER:98
25162,6501000,　 215巷連 100號以上,=LANE:215;>NUMBER:100
25159,6501000,單 217號至 223號,odd;~NUMBER:217:223
25162,6501000,單 225號以上,odd;>NUMBER:225
25173,6501000,雙  90號以下,even;<NUMBER:90
25162,6501000,雙  92號以上,even;>NUMBER:92
