40041,6600100,單  19號以下,odd;<NUMBER:19
40041,6600100,雙  24號以下,even;<NUMBER:24
40354,6600400,單 141號至 239號,odd;~NUMBER:141:239
40354,6600400,雙 126號至 210號,even;~NUMBER:126:210
40443,6600500,單  21號至 135號,odd;~NUMBER:21:135
40442,6600500,單 241號至 331號,odd;~NUMBER:241:331
40442,6600500,　 333巷連  99號以下,=LANE:333;<NUMBER:99
40461,6600500,　 333巷連 100號以上,=LANE:333;>NUMBER:100
40442,6600500,單 335號至 367號,odd;~NUMBER:335:367
40461,6600500,單 369號至 395號,odd;~NUMBER:369:395
40443,6600500,雙  28號至 124號,even;~NUMBER:28:124
40442,6600500,雙 212號至 380號,even;~NUMBER:212:380
40461,6600500,雙 382號至 424號,even;~NUMBER:382:424
