80646,6400900,單 117巷以下,odd;<LANE:117
83081,6401200,單 151號以上,odd;>NUMBER:151
83080,6401200,雙 102號以下,even;<NUMBER:102
83081,6401200,雙 104號以上,even;>NUMBER:104
