80665,6400900,單 231號以上,odd;>NUMBER:231
80665,6400900,雙 230號以上,even;>NUMBER:230
81245,6401100,單 229號以下,odd;<NUMBER:229
81245,6401100,雙 228號以下,even;<NUMBER:228
