40653,6600800,單   7號以下,odd;<NUMBER:7
40645,6600800,單   9號以上,odd;>NUMBER:9
40653,6600800,雙  28號以下,even;<NUMBER:28
40645,6600800,雙  30號以上,even;>NUMBER:30
