40141,6600200,連 299號以下,=SECTION:1;<NUMBER:299
40151,6600200,連 300號至 329號,=SECTION:1;~NUMBER:300:329
40142,6600200,連 330號以上,=SECTION:1;>NUMBER:330
40450,6600500,連 121號以下,=SECTION:2;<NUMBER:121
40463,6600500,連 123號以上,=SECTION:2;>NUMBER:123
40646,6600800,連  91號以下,=SECTION:3;<NUMBER:91
40645,6600800,連  92號以上,=SECTION:3;>NUMBER:92
