91243,1001313,單  81號至 237號,odd;~NUMBER:81:237
91250,1001313,單 239號以上,odd;>NUMBER:239
91243,1001313,雙 130號至 270號,even;~NUMBER:130:270
91250,1001313,雙 272號以上,even;>NUMBER:272
