96145,1001402,單   3號以下,odd;<NUMBER:3
96143,1001402,單   5號以上,odd;>NUMBER:5
96145,1001402,雙   6號以下,even;<NUMBER:6
96143,1001402,雙   8號以上,even;>NUMBER:8
