32553,6800900,單  11號至 349巷,odd;~LANE:11:349
32542,6800900,單 405巷以上,odd;>LANE:405
32553,6800900,雙 230號以下,even;<NUMBER:230
32542,6800900,雙 236號以上,even;>NUMBER:236
