90075,1001301,單  19號以下,odd;<NUMBER:19
90077,1001301,單  21號至  33號,odd;~NUMBER:21:33
90073,1001301,單  35號以上,odd;>NUMBER:35
90075,1001301,雙   8號以下,even;<NUMBER:8
90077,1001301,雙  10號以上,even;>NUMBER:10
