10351,6300600,單  33號至 117號,odd;~NUMBER:33:117
10349,6300600,單 119號以上,odd;>NUMBER:119
10351,6300600,雙  30號至  34號,even;~NUMBER:30:34
10349,6300600,雙  36號以上,even;>NUMBER:36
10444,6300400,單  31號以下,odd;<NUMBER:31
10444,6300400,雙  28號以下,even;<NUMBER:28
