40046,6600100,單  23號以上,odd;>NUMBER:23
40046,6600100,雙  32號以上,even;>NUMBER:32
40342,6600400,單  21號以下,odd;<NUMBER:21
40342,6600400,雙  24號以下,even;<NUMBER:24
