81357,6400300,單 151號以下,odd;<NUMBER:151
81358,6400300,單 153號至 375號,odd;~NUMBER:153:375
81366,6400300,單 377號以上,odd;>NUMBER:377
81357,6400300,雙  98號以下,even;<NUMBER:98
81358,6400300,雙 100號至 356號,even;~NUMBER:100:356
81366,6400300,雙 358號以上,even;>NUMBER:358
