40681,6600800,單  29號以下,odd;<NUMBER:29
40677,6600800,單  31號至 123號,odd;~NUMBER:31:123
40678,6600800,單 133號至 139號,odd;~NUMBER:133:139
40681,6600800,雙  18號以下,even;<NUMBER:18
40677,6600800,雙  20號至  76巷,even;~LANE:20:76
40678,6600800,雙  88號至  92號,even;~NUMBER:88:92
