80146,6400700,單  93號以上,odd;>NUMBER:93
80146,6400700,雙 120號以上,even;>NUMBER:120
80248,6400800,單  91號以下,odd;<NUMBER:91
80248,6400800,雙 118號以下,even;<NUMBER:118
