83055,6401200,單  59號以下,odd;<NUMBER:59
83056,6401200,單  61號至 367號,odd;~NUMBER:61:367
83051,6401200,單 369號以上,odd;>NUMBER:369
83055,6401200,雙  60號以下,even;<NUMBER:60
83056,6401200,雙  62號至 360號,even;~NUMBER:62:360
83051,6401200,雙 362號以上,even;>NUMBER:362
