80673,6400900,全,all
82543,6402000,單  11號至 245號,odd;~NUMBER:11:245
82549,6402000,單 247號至 271號,odd;~NUMBER:247:271
82543,6402000,雙  12號至 200號,even;~NUMBER:12:200
82548,6402000,雙 202號至 272號,even;~NUMBER:202:272
