10068,6300500,單  15號以上,odd;>NUMBER:15
10068,6300500,雙  36號以上,even;>NUMBER:36
10862,6300700,單  13號以下,odd;<NUMBER:13
10862,6300700,雙  34號以下,even;<NUMBER:34
