23542,6500300,單  93號以下,odd;<NUMBER:93
23546,6500300,單  95號至 199號,odd;~NUMBER:95:199
23541,6500300,單 201號以上,odd;>NUMBER:201
23546,6500300,雙 176號以下,even;<NUMBER:176
23541,6500300,雙 178號以上,even;>NUMBER:178
