33050,6800100,單1193號以下,odd;<NUMBER:1193
33051,6800100,單1195號以上,odd;>NUMBER:1195
33049,6800100,雙 636號以下,even;<NUMBER:636
33050,6800100,雙 638號至1144號,even;~NUMBER:638:1144
33051,6800100,雙1146號以上,even;>NUMBER:1146
