40148,6600200,連 290號以下,=SECTION:1;<NUMBER:290
40152,6600200,連 291號至 400號,=SECTION:1;~NUMBER:291:400
40151,6600200,連 402號以上,=SECTION:1;>NUMBER:402
40151,6600200,連  23號以下,=SECTION:2;<NUMBER:23
40151,6600200,連  29號至  35號,=SECTION:2;~NUMBER:29:35
40641,6600800,連  24號至  28號,=SECTION:2;~NUMBER:24:28
40641,6600800,連  36號至  58號,=SECTION:2;~NUMBER:36:58
40647,6600800,連  57號以下,=SECTION:3;<NUMBER:57
40647,6600800,連 111號至 313巷,=SECTION:3;~LANE:111:313
40643,6600800,連 314號以上,=SECTION:3;>NUMBER:314
41162,6602700,全,=SECTION:2;all
41162,6602700,連 201號至 230號,=SECTION:2;~NUMBER:201:230
42754,6601700,全,=SECTION:2;all
42743,6601700,全,=SECTION:5;all
42743,6601700,全,=SECTION:6;all
42742,6601700,全,=SECTION:7;all
