81151,6400400,單 115號以下,odd;<NUMBER:115
81152,6400400,單 117號以上,odd;>NUMBER:117
81151,6400400,雙 128號以下,even;<NUMBER:128
81152,6400400,雙 130號以上,even;>NUMBER:130
