10341,6300600,單   5號以下,odd;<NUMBER:5
10343,6300600,單   7號至  33號,odd;~NUMBER:7:33
10342,6300600,單  35號以上,odd;>NUMBER:35
10341,6300600,雙  48號以下,even;<NUMBER:48
10343,6300600,雙  50號至  66號,even;~NUMBER:50:66
10342,6300600,雙  68號以上,even;>NUMBER:68
