30268,1000401,單  63號以下,odd;<NUMBER:63
30295,1000401,單  65號至 315號,odd;~NUMBER:65:315
30251,1000401,單 317號以上,odd;>NUMBER:317
30268,1000401,雙  54號以下,even;<NUMBER:54
30295,1000401,雙  56號至 136號,even;~NUMBER:56:136
30295,1000401,雙 138號至 212號,even;~NUMBER:138:212
30251,1000401,雙 316號以上,even;>NUMBER:316
