10089,6300500,單 157號以上,odd;>NUMBER:157
10089,6300500,雙 130號至 166號,even;~NUMBER:130:166
10088,6300500,雙 168號以上,even;>NUMBER:168
10645,6300300,單  81號以下,odd;<NUMBER:81
10646,6300300,單  83號至 115號,odd;~NUMBER:83:115
10646,6300300,　 117巷單全,odd;=:117巷
10647,6300300,　 117巷雙全,even;=LANE:117
10647,6300300,單 119號至 155號,odd;~NUMBER:119:155
10646,6300300,雙 100號以下,even;<NUMBER:100
10646,6300300,　 102巷單全,odd;=:102巷
10647,6300300,　 102巷雙全,even;=LANE:102
10647,6300300,雙 104號至 128號,even;~NUMBER:104:128
