83065,6401200,單  41巷以下,odd;<LANE:41
83056,6401200,單  43號以上,odd;>NUMBER:43
83065,6401200,雙  46號以下,even;<NUMBER:46
83056,6401200,雙  48巷以上,even;>LANE:48
