40457,6600500,單  93號以上,odd;>NUMBER:93
40457,6600500,雙  82號以上,even;>NUMBER:82
40646,6600800,單  91號以下,odd;<NUMBER:91
40646,6600800,雙  80號以下,even;<NUMBER:80
