26843,1000209,單  15號至 221巷,odd;~LANE:15:221
26843,1000209,雙 332號以下,even;<NUMBER:332
26950,1000208,單  55巷至 281巷,odd;~LANE:55:281
26950,1000208,雙  60巷至 432號,even;~LANE:60:432
