42746,6601700,連 116號以下,=SECTION:1;<NUMBER:116
42755,6601700,　 117巷全,=SECTION:1;=LANE:117
42746,6601700,連 118號以上,=SECTION:1;>NUMBER:118
42746,6601700,全,=SECTION:2;all
