70955,6703500,單  31號以下,odd;<NUMBER:31
70955,6703500,單  33號以上,odd;>NUMBER:33
70955,6703500,雙  36號以下,even;<NUMBER:36
70955,6703500,雙  38號以上,even;>NUMBER:38
