10361,6300600,單  53號以下,odd;<NUMBER:53
10363,6300600,單  55號至  85號,odd;~NUMBER:55:85
10375,6300600,單  87號至 151號,odd;~NUMBER:87:151
10376,6300600,單 153號以上,odd;>NUMBER:153
10361,6300600,雙  82號以下,even;<NUMBER:82
10363,6300600,雙  84號至 146號,even;~NUMBER:84:146
10375,6300600,雙 148號以上,even;>NUMBER:148
