24151,6500200,單   7號以下,odd;<NUMBER:7
24151,6500200,單   9號至  99號,odd;~NUMBER:9:99
24151,6500200,單 101號至 169號,odd;~NUMBER:101:169
24151,6500200,單 171號至 201號,odd;~NUMBER:171:201
24151,6500200,雙  98號以下,even;<NUMBER:98
24151,6500200,雙 100號至 158號,even;~NUMBER:100:158
24151,6500200,雙 160號至 178號,even;~NUMBER:160:178
24747,6501400,單 209號至 413號,odd;~NUMBER:209:413
24747,6501400,雙 180號至 406號,even;~NUMBER:180:406
