11272,6301200,全,=SECTION:1;all
11266,6301200,連 154號以下,=SECTION:2;<NUMBER:154
11221,6301200,　 155號,=SECTION:2;=NUMBER:155
11218,6301200,　 301號,=SECTION:2;=NUMBER:301
11266,6301200,連 156號至 300號,=SECTION:2;~NUMBER:156:300
11266,6301200,連 302號以上,=SECTION:2;>NUMBER:302
