80765,6400500,單  87號以下,odd;<NUMBER:87
80780,6400500,單  89號至 119號,odd;~NUMBER:89:119
80776,6400500,單 121號以上,odd;>NUMBER:121
80780,6400500,雙  20號至 114號,even;~NUMBER:20:114
80776,6400500,雙 116號以上,even;>NUMBER:116
