40041,6600100,全,=SECTION:3;all
40244,6600300,全,=SECTION:1;all
40346,6600400,連  85號以下,=SECTION:2;<NUMBER:85
40345,6600400,連 147號至 156號,=SECTION:2;~NUMBER:147:156
40357,6600400,連 157號至 202號,=SECTION:2;~NUMBER:157:202
40342,6600400,連 203號至 218號,=SECTION:2;~NUMBER:203:218
40357,6600400,連 219號以上,=SECTION:2;>NUMBER:219
40344,6600400,連  86號至 131號,=SECTION:2;~NUMBER:86:131
40458,6600500,連  28號以下,=SECTION:4;<NUMBER:28
40458,6600500,連  61號至 116號,=SECTION:4;~NUMBER:61:116
40444,6600500,連  30號至  37號,=SECTION:4;~NUMBER:30:37
40446,6600500,連  38號至  60號,=SECTION:4;~NUMBER:38:60
