71060,6703100,單 185號以下,odd;<NUMBER:185
71076,6703100,單 187號至 401號,odd;~NUMBER:187:401
71090,6703100,單 403號以上,odd;>NUMBER:403
71060,6703100,雙 150號以下,even;<NUMBER:150
71076,6703100,雙 152號至 506號,even;~NUMBER:152:506
71090,6703100,雙 508號以上,even;>NUMBER:508
