83092,6401200,單  23號以下,odd;<NUMBER:23
83091,6401200,單  25號至 175巷,odd;~LANE:25:175
83094,6401200,單 177號以上,odd;>NUMBER:177
83092,6401200,雙  32號以下,even;<NUMBER:32
83091,6401200,雙  34號至 126號,even;~NUMBER:34:126
