92053,1001302,單  57巷以下,odd;<LANE:57
92043,1001302,單 125號以上,odd;>NUMBER:125
92053,1001302,雙  56巷以下,even;<LANE:56
92043,1001302,雙  92號以上,even;>NUMBER:92
