80145,6400700,單 211號以上,odd;>NUMBER:211
80145,6400700,雙 180號以上,even;>NUMBER:180
80245,6400800,單 209號以下,odd;<NUMBER:209
80245,6400800,雙 178號以下,even;<NUMBER:178
