40356,6600400,雙 142號至 188號,even;~NUMBER:142:188
40864,6600700,單 253號以下,odd;<NUMBER:253
40867,6600700,單 321號以上,odd;>NUMBER:321
40864,6600700,雙 140號以下,even;<NUMBER:140
40864,6600700,雙 200號至 262號,even;~NUMBER:200:262
40867,6600700,雙 440號以上,even;>NUMBER:440
